"RT_ID","SN_B","STOP_CD_B","SN_E","STOP_CD_E","DIST","LMT_SPD"
"12OMA","1","ESTAMAJ","11","ESTAMAJ","3088","40"
"ACNAL-I","1","EALCDIA","45","EALCDIA","29437","30"
"ACNAL-R","1","ALBROCG","53","ALBROCG","33317","40"
"ADKAL-DI","1","EALCDIA","60","EALCDIA","28776","30"
"ADKAL-DR","1","ALBROCC","65","ALBROCC","31514","40"
"ALKCO","1","ALLSB1A","17","ALLSB1A","19299","60"
"AMOAL","1","ALBROCE","21","ALBROCE","20683","40"
"BCKAL-I","1","CAL1C1A","63","CAL1C1A","30513","40"
"BCKAL-R","1","ALBROCB","64","ALBROCB","31497","40"
"BCKCS-I","1","CAL1C1A","54","CAL1C1A","23982","40"
"BCKCS-R","1","PCOTM2A","53","PCOTM2A","23396","60"
"BCKMA-I","1","CAL1C1A","61","CAL1C1A","27124","40"
"BCKMA-R","1","ESTAMAN","60","ESTAMAN","25995","40"
"BCSMA-I","1","VERDB2A","35","VERDB2A","26534","40"
"BCSMA-R","1","ESTAMAB","33","ESTAMAB","27144","40"
"BCVAL-I","1","POLVE1A","76","POLVE1A","29829","60"
"BCVAL-R","1","ALBROCA","74","ALBROCA","32458","40"
"BCVEC-I","1","CAL1C1A","66","CAL1C1A","23285","40"
"BCVEC-R","1","HSBCL3A","61","HSBCL3A","23980","60"
"BCVMA-I","1","ESTAD1A","74","ESTAD1A","26440","40"
"BCVMA-R","1","ESTAMAL","70","ESTAMAL","26956","40"
"BIPAL-I","1","CABTK2A","33","CABTK2A","38988","60"
"BIPAL-R","1","ALBROCG","40","ALBROCG","41949","40"
"BLVDO-I","1","ESTA24B","37","ESTA24B","17478","60"
"BLVDO-R","1","ETBVE2D","39","ETBVE2D","18186","40"
"BLVMP-I","1","PENAB1A","37","PENAB1A","14969","40"
"BLVMP-R","1","ETBVE2C","39","ETBVE2C","15482","40"
"BLVTO-I","1","ESTASIC","50","ESTASIC","21092","40"
"BLVTO-R","1","VLOVE2A","47","VLOVE2A","20651","60"
"BOMAL-DI","1","AMANE1A","60","AMANE1A","30049","40"
"BOMAL-DR","1","DORTM2A","65","DORTM2A","31289","60"
"BONAL-I","1","AMANE1A","43","AMANE1A","29266","40"
"BONAL-R","1","ALBROCG","49","ALBROCG","31566","40"
"CASMA-I","1","CPRAD1A","23","CPRAD1A","21358","30"
"CASMA-R","1","ESTAMAB","22","ESTAMAB","21273","40"
"CHFAL-I","1","CHAGR1A","38","CHAGR1A","35023","60"
"CHFAL-R","1","ALBROCH","38","ALBROCH","35160","40"
"CHKAL-DI","1","CHAGR1A","83","CHAGR1A","41906","60"
"CHKAL-DR","1","ALBROCC","84","ALBROCC","43065","40"
"CHKCS-I","1","CHAGR1A","79","CHAGR1A","35307","60"
"CHKCS-R","1","VVETK2A","79","VVETK2A","35324","60"
"CHKMA-I","1","CHAGR1A","89","CHAGR1A","39215","60"
"CHKMA-R","1","ROCTK2A","88","ROCTK2A","39017","60"
"CHOMA","1","AMELI3A","21","AMELI3A","6656","40"
"CHPAL-I","1","CHAGR1A","31","CHAGR1A","37047","60"
"CHPAL-R","1","ALBROCG","37","ALBROCG","40352","40"
"CHPAL-TI","1","CHAGR1A","34","CHAGR1A","37612","60"
"CHPAL-TR","1","ALBROCG","41","ALBROCG","40625","40"
"COSAL-I","1","BVVCS1A","17","BVVCS1A","15331","40"
"COSAL-R","1","ALBROCF","13","ALBROCF","15481","40"
"CPEJ2-I","1","ESTAJ1B","2","ESTAJ1B","705","60"
"CPEJ2-R","1","ESTAJ2D","22","ESTAJ2D","11164","60"
"CPEJ3-I","1","ESTAD1B","2","ESTAD1B","705","40"
"CPEJ3-R","1","ESTAD2D","22","ESTAD2D","11164","40"
"CPEJD-I","1","ESTAD1B","2","ESTAD1B","705","40"
"CPEJD-R","1","ESTAD2D","20","ESTAD2D","8565","40"
"CPVAL-DI","1","CONCE1A","56","CONCE1A","25318","40"
"CPVAL-DR","1","ALBROCA","59","ALBROCA","30416","40"
"CSFAL","1","ALBROCD","22","ALBROCD","18430","40"
"D2SMA-I","1","PARED1A","27","PARED1A","29051","60"
"D2SMA-R","1","ESTAMAD","26","ESTAMAD","29572","40"
"D2SMA-TI","1","PARED1A","34","PARED1A","30413","60"
"D2SMA-TR","1","ESTAMAD","32","ESTAMAD","30827","40"
"DIKAL-I","1","PARED2A","67","PARED2A","34917","60"
"DIKAL-R","1","ALBROCB","73","ALBROCB","37176","40"
"DIVAL-I","1","PARED2A","81","PARED2A","34233","60"
"DIVAL-R","1","ALBROCA","84","ALBROCA","38137","40"
"DOE24","1","PARED2A","19","PARED2A","5464","60"
"DOEFE-VI","1","NVAES2A","5","NVAES2A","7680","60"
"DOEFE-VR","1","NTOPA2A","4","NTOPA2A","3853","60"
"DOEMP-VI","1","PARED1A","4","PARED1A","3878","60"
"DOEMP-VR","1","PENAB2A","4","PENAB2A","3647","60"
"DOEPA-VI","1","PPAPC2A","4","PPAPC2A","13715","60"
"DOEPA-VR","1","NTOPA2A","3","NTOPA2A","9559","60"
"DOETO-VI","1","PARED1A","4","PARED1A","5434","60"
"DOETO-VR","1","ESTASIC","4","ESTASIC","4907","60"
"DOKAL-I","1","ESTA24A","56","ESTA24A","31350","60"
"DOKAL-R","1","ALBROCB","61","ALBROCB","33369","40"
"DOKCS-I","1","ESTA24A","46","ESTA24A","24819","60"
"DOKCS-R","1","VVETK2A","49","VVETK2A","25268","60"
"DOKMA-I","1","ESTA24A","54","ESTA24A","27961","60"
"DOKMA-R","1","ESTAMAN","57","ESTAMAN","27867","40"
"DOMAL-I","1","ESTA24A","59","ESTA24A","32728","60"
"DOMAL-R","1","ALBROCB","66","ALBROCB","34820","40"
"DOMCS-I","1","ESTA24A","49","ESTA24A","26427","60"
"DOMCS-R","1","VVETK2A","54","VVETK2A","26719","60"
"DOMMA-I","1","ESTA24A","57","ESTA24A","29339","60"
"DOMMA-R","1","ESTAMAO","62","ESTAMAO","29318","40"
"DONSI","1","ESTADAB","15","ESTADAB","43723","60"
"DOSAL-I","1","PARED1A","31","PARED1A","33086","60"
"DOSAL-R","1","ALBROCF","30","ALBROCF","35074","40"
"DOSCO-I","1","ESTADAA","20","ESTADAA","19700","60"
"DOSCO-R","1","BVVCS2A","19","BVVCS2A","19941","40"
"DOSMA-I","1","ESTA24C","24","ESTA24C","28409","60"
"DOSMA-R","1","ESTAMAD","27","ESTAMAD","30368","40"
"DOTBE","1","DORAD1A","24","DORAD1A","10237","60"
"DOVAL-I","1","ESTA24B","69","ESTA24B","30666","60"
"DOVAL-R","1","ALBROCA","71","ALBROCA","34330","40"
"DOVEC-I","1","ESTA24B","59","ESTA24B","24122","60"
"DOVEC-R","1","GLOCS4A","58","GLOCS4A","25852","60"
"DOVMA-I","1","ESTA24B","67","ESTA24B","27277","60"
"DOVMA-R","1","ESTAMAL","67","ESTAMAL","28828","40"
"DROCE-I","1","DORAD1A","35","DORAD1A","16916","60"
"DROCE-R","1","DORTM2A","2","DORTM2A","334","60"
"DROFI-I","1","DORAD1A","38","DORAD1A","30541","60"
"DROFI-R","1","DORTM2A","2","DORTM2A","334","60"
"EAKAL-I","1","ESTAN1D","30","ESTAN1D","15276","60"
"EAKAL-R","1","ALBROCC","33","ALBROCC","16881","40"
"EAKLP-I","1","ESTAN1F","36","ESTAN1F","20124","60"
"EAKLP-R","1","ESTAN2C","2","ESTAN2C","933","60"
"EAMAL-DI","1","ESTAN1B","26","ESTAN1B","16788","60"
"EAMAL-DR","1","ALBROCC","30","ALBROCC","18047","40"
"EARAD-I","1","EALCDIA","33","EALCDIA","13432","30"
"EARAD-R","1","ESTAN2B","35","ESTAN2B","15011","60"
"EARBO-I","1","AMANE1A","35","AMANE1A","13261","40"
"EARBO-R","1","NATCB3A","36","NATCB3A","13242","40"
"EARCH-I","1","DONBN2A","70","DONBN2A","31312","60"
"EARCH-R","1","ESTAN2A","71","ESTAN2A","31476","60"
"EARLI-DI","1","ESTASLA","23","ESTASLA","8057","40"
"EARLI-DR","1","ESTAN2E","23","ESTAN2E","7701","60"
"EARPI-DI","1","MANOP1A","17","MANOP1A","7974","40"
"EARPI-DR","1","ESTAN2F","17","ESTAN2F","6725","60"
"EARTC-DI","1","ESTATCB","7","ESTATCB","5281","40"
"EARTC-DR","1","ESTAN2D","13","ESTAN2D","4843","60"
"EARVA-I","1","VALLE1A","12","VALLE1A","4311","30"
"EARVA-R","1","ESTAN2F","13","ESTAN2F","4030","60"
"EAVAL-DI","1","ESTAN1F","27","ESTAN1F","16167","60"
"EAVAL-DR","1","ALBROCD","32","ALBROCD","20452","40"
"EAVAL-I","1","ESTAN1F","30","ESTAN1F","14856","60"
"EAVAL-R","1","ALBROCD","36","ALBROCD","18777","40"
"ECTCG","1","ESTICAA","12","ESTICAA","3926","40"
"EVTPP","1","ESTVARA","13","ESTVARA","6027","40"
"FEEDO","1","NVAES1A","21","NVAES1A","11849","60"
"FESMA-I","1","NVAES1A","32","NVAES1A","33244","60"
"FESMA-R","1","ESTAMAD","31","ESTAMAD","33764","40"
"FEVAL-I","1","NVAES1A","77","NVAES1A","35501","60"
"FEVAL-R","1","ALBROCA","79","ALBROCA","39363","40"
"FEVMA-I","1","NVAES1A","75","NVAES1A","32112","60"
"FEVMA-R","1","ESTAMAL","75","ESTAMAL","33861","40"
"GEEDO","1","GESTATB","69","GESTATB","42397","60"
"GEEMP","1","GESTATB","73","GESTATB","37707","60"
"GEETO","1","GESTATB","92","GESTATB","47038","60"
"INEBL-I","1","INATM1A","28","INATM1A","11971","60"
"INEBL-R","1","PCAVE2A","25","PCAVE2A","13318","60"
"INEDO-I","1","INATM1A","16","INATM1A","8519","60"
"INEDO-R","1","PARED1A","14","PARED1A","9291","60"
"INEGE-I","1","INATM1A","24","INATM1A","16399","60"
"INEGE-R","1","GESTATA","23","GESTATA","14970","60"
"LAMMA-I","1","ANDESLA","38","ANDESLA","15100","30"
"LAMMA-R","1","ESTAMAP","43","ESTAMAP","15361","40"
"LARHU","1","ANDESLA","11","ANDESLA","2122","30"
"LIKAL-I","1","ESTASLB","55","ESTASLB","22974","40"
"LIKAL-R","1","ALBROCC","58","ALBROCC","24104","40"
"LIMAL-I","1","ESTASLB","57","ESTASLB","24418","40"
"LIMAL-R","1","ALBROCC","62","ALBROCC","25630","40"
"LIMMA-I","1","ESTASLB","55","ESTASLB","21029","40"
"LIMMA-R","1","ESTAMAP","58","ESTAMAP","20128","40"
"LINAL-I","1","ESTASLC","32","ESTASLC","23576","40"
"LINAL-R","1","ALBROCG","36","ALBROCG","26212","40"
"LPEBC","1","ESTLP2A","33","ESTLP2A","17656","40"
"LPEBC-VI","1","CAL1C2A","3","CAL1C2A","4697","60"
"LPEBC-VR","1","ESTLP2A","3","ESTLP2A","3969","60"
"LPECA-VI","1","CPRAD2A","3","CPRAD2A","4171","60"
"LPECA-VR","1","ESTLP2A","3","ESTLP2A","4248","60"
"LPEDO","1","ESTLP2C","44","ESTLP2C","29459","40"
"LPEDO-VI","1","PARED2A","5","PARED2A","12811","60"
"LPEDO-VR","1","ESTLP2C","4","ESTLP2C","13562","60"
"LPEMP","1","ESTLP2B","48","ESTLP2B","24765","40"
"LPEPE-VI","1","ESTAPEA","5","ESTAPEA","4981","60"
"LPEPE-VR","1","ESTLP2B","4","ESTLP2B","5349","60"
"LPESJ-VI","1","PEGRE1A","3","PEGRE1A","4453","60"
"LPESJ-VR","1","ESTLP2A","4","ESTLP2A","5145","60"
"LPETO","1","ESTLP2A","67","ESTLP2A","34096","40"
"LPSMA-I","1","ESTLP2A","25","ESTLP2A","20610","40"
"LPSMA-R","1","ESTAMAA","28","ESTAMAA","22836","40"
"MAKOV","1","ESTAMAN","41","ESTAMAN","15504","40"
"MAMPK","1","ESTAMAO","40","ESTAMAO","16184","40"
"MASAL-I","1","MAINT1A","24","MAINT1A","29325","40"
"MASAL-R","1","ALBROCF","21","ALBROCF","30868","40"
"MAVEA","1","ESTAMAK","49","ESTAMAK","20734","40"
"MECRP","1","MERMACA","40","MERMACA","20552","60"
"MIELP-VI","1","MAINT2A","4","MAINT2A","9525","60"
"MIELP-VR","1","ESTLP2B","4","ESTLP2B","9102","60"
"MIFAL","1","ALBROCD","17","ALBROCD","17399","40"
"MPEDO-VI","1","PARED1A","4","PARED1A","4288","60"
"MPEDO-VR","1","MAINT2A","4","MAINT2A","4057","60"
"MPMAL-I","1","PENAB1A","60","PENAB1A","30496","40"
"MPMAL-R","1","ALBROCB","68","ALBROCB","33040","40"
"MPMCS-I","1","PENAB1A","50","PENAB1A","24590","40"
"MPMCS-R","1","VVETK2A","57","VVETK2A","24939","60"
"MPMMA-I","1","PENAB1A","58","PENAB1A","27502","40"
"MPMMA-R","1","PMITM2A","63","PMITM2A","27453","60"
"MPSAL-I","1","MAINT1A","35","MAINT1A","33241","40"
"MPSAL-R","1","ALBROCF","34","ALBROCF","35997","40"
"MPSCO-I","1","MAINT1A","36","MAINT1A","19720","40"
"MPSCO-R","1","BVVCS2A","33","BVVCS2A","18863","40"
"MPSMA-I","1","MAINT1A","32","MAINT1A","29485","40"
"MPSMA-R","1","ESTAMAC","30","ESTAMAC","30495","40"
"MPVAL-I","1","PENAB1A","69","PENAB1A","28157","40"
"MPVAL-R","1","PBAVE4A","74","PBAVE4A","32467","60"
"MPVEC-I","1","PENAB1A","59","PENAB1A","21613","40"
"MPVEC-R","1","HSBCL3A","61","HSBCL3A","23989","60"
"MPVMA-I","1","PENAB1A","68","PENAB1A","25047","40"
"MPVMA-R","1","ESTAMAK","70","ESTAMAK","26965","40"
"PASAL-I","1","PPAPC1A","44","PPAPC1A","43325","40"
"PASAL-R","1","ALBROCF","44","ALBROCF","44983","40"
"PATED","1","PAICT1A","23","PAICT1A","8626","60"
"PCXPA-I","1","PACAB  ","48","PACAB  ","56658","40"
"PCXPA-R","1","PAACO  ","54","PAACO  ","62624","60"
"PEKAL-I","1","ESTAPEA","45","ESTAPEA","24897","40"
"PEKAL-R","1","ALBROCB","51","ALBROCB","26817","40"
"PEKCS-I","1","ESTAPEA","35","ESTAPEA","18366","40"
"PEKCS-R","1","VVETK2A","38","VVETK2A","18631","60"
"PEKMA-I","1","ESTAPEA","43","ESTAPEA","21508","40"
"PEKMA-R","1","ESTAMAN","46","ESTAMAN","21230","40"
"PEMAL-I","1","ESTAPEA","49","ESTAPEA","26275","40"
"PEMAL-R","1","ALBROCB","57","ALBROCB","28268","40"
"PEMCS-I","1","ESTAPEA","39","ESTAPEA","19974","40"
"PEMCS-R","1","VVETK2A","45","VVETK2A","20167","60"
"PEMMA-I","1","ESTAPEA","47","ESTAPEA","22886","40"
"PEMMA-R","1","ESTAMAO","52","ESTAMAO","22681","40"
"PESMA-I","1","ESTAPEC","27","ESTAPEC","23540","40"
"PESMA-R","1","SJOSJ2A","29","SJOSJ2A","24132","40"
"PEVAL-I","1","PERVE3A","57","PERVE3A","23541","60"
"PEVAL-R","1","ALBROCA","62","ALBROCA","27695","40"
"PEVEC-I","1","ESTAPEB","47","ESTAPEB","16997","40"
"PEVEC-R","1","HSBCL3A","49","HSBCL3A","19217","60"
"PEVMA-I","1","ESTAPEB","55","ESTAPEB","20152","40"
"PEVMA-R","1","ESTAMAK","58","ESTAMAK","22193","40"
"PGMAL-I","1","PAGMN1A","56","PAGMN1A","28823","50"
"PGMAL-R","1","ALBROCB","62","ALBROCB","30807","40"
"PGVAL-I","1","PAGMN1A","64","PAGMN1A","26089","50"
"PGVAL-R","1","ALBROCA","68","ALBROCA","30234","40"
"PIKAL-I","1","MANOP1A","55","MANOP1A","24368","40"
"PIKAL-R","1","ALBROCC","58","ALBROCC","25215","40"
"PIMAL-I","1","MANOP1A","57","MANOP1A","25812","40"
"PIMAL-R","1","ALBROCC","62","ALBROCC","26741","40"
"PIMMA-I","1","MANOP1A","55","MANOP1A","22423","40"
"PIMMA-R","1","ESTAMAP","58","ESTAMAP","21239","40"
"PINAL-I","1","MANOP1A","26","MANOP1A","23223","40"
"PINAL-R","1","ALBROCG","30","ALBROCG","25254","40"
"PORGE-DI","1","PODERTA","16","PODERTA","9709","40"
"PORGE-DR","1","GESTATA","21","GESTATA","8304","60"
"PQSAL-I","1","PREAL2A","25","PREAL2A","29905","50"
"PQSAL-R","1","ALBROCF","24","ALBROCF","32478","40"
"PVCAL-I","1","ETBVE1B","32","ETBVE1B","15853","60"
"PVCAL-R","1","ALBROCH","29","ALBROCH","17358","40"
"PVCMC-I","1","ETBVE1A","28","ETBVE1A","11831","60"
"PVCMC-R","1","MERMACA","28","MERMACA","12633","60"
"PVTAL-DI","1","ETBVE1B","31","ETBVE1B","16741","60"
"PVTAL-DR","1","ALBROCH","33","ALBROCH","19620","40"
"SANMA-I","1","PUEBL4A","23","PUEBL4A","26753","60"
"SANMA-R","1","ESTAMAE","25","ESTAMAE","26682","40"
"SIRAD-I","1","EALCDIA","29","EALCDIA","11338","30"
"SIRAD-R","1","ESTSI2A","31","ESTSI2A","12567","60"
"SIRBO-I","1","AMANE1A","30","AMANE1A","11167","40"
"SIRBO-R","1","ESTSI2A","30","ESTSI2A","10815","60"
"SIRCH-I","1","VINTK1A","66","VINTK1A","29218","60"
"SIRCH-R","1","ESTSI2A","65","ESTSI2A","29049","60"
"SIRLI","1","ESTSI2A","51","ESTSI2A","14845","60"
"SIRPI","1","ESTSI2A","51","ESTSI2A","17629","60"
"SIRTC","1","ESTSI2A","44","ESTSI2A","13819","60"
"SIRVA","1","ESTSI2A","16","ESTSI2A","5451","60"
"SJERO","1","YSAJO1A","9","YSAJO1A","2961","40"
"SJKAL-I","1","YSAJO1A","51","YSAJO1A","26619","40"
"SJKAL-R","1","ALBROCB","57","ALBROCB","28778","40"
"SJVAL-I","1","YSAJO1A","63","YSAJO1A","25263","40"
"SJVAL-R","1","ALBROCA","69","ALBROCA","29741","40"
"SPVAL-DI","1","AVE3CSA","43","AVE3CSA","19369","40"
"SPVAL-DR","1","ALBROCA","48","ALBROCA","24683","40"
"SUFAL","1","ALBROCD","31","ALBROCD","36470","40"
"SVKAL-DI","1","SANVI1A","57","SANVI1A","30801","60"
"SVKAL-DR","1","ALBROCC","59","ALBROCC","32006","40"
"TBOMA","1","ESTAMAJ","17","ESTAMAJ","8595","40"
"TCKAL-I","1","ESTATCB","52","ESTATCB","22906","40"
"TCKAL-R","1","ALBROCC","54","ALBROCC","23333","40"
"TCKMA-I","1","ESTATCB","50","ESTATCB","19517","40"
"TCKMA-R","1","ESTAMAM","50","ESTAMAM","17831","40"
"TCMAL-I","1","ESTATCA","54","ESTATCA","24350","40"
"TCMAL-R","1","ALBROCC","58","ALBROCC","24859","40"
"TCMMA-I","1","ESTATCA","52","ESTATCA","20961","40"
"TCMMA-R","1","ESTAMAP","54","ESTAMAP","19357","40"
"TCNAL-I","1","ESTATCD","16","ESTATCD","21038","40"
"TCNAL-R","1","ALBROCG","26","ALBROCG","23372","40"
"TOKAL-I","1","MASMITA","68","MASMITA","34964","60"
"TOKAL-R","1","ALBROCB","71","ALBROCB","36675","40"
"TOKCS-I","1","ESTASIB","58","ESTASIB","28433","40"
"TOKCS-R","1","VVETK2A","60","VVETK2A","28574","60"
"TOKMA-I","1","GCVTM4A","66","GCVTM4A","31575","60"
"TOKMA-R","1","ESTAMAN","67","ESTAMAN","31173","40"
"TOMAL-I","1","ESTASIB","71","ESTASIB","36342","40"
"TOMAL-R","1","ALBROCB","76","ALBROCB","38126","40"
"TOMCS-I","1","ESTASIB","61","ESTASIB","30041","40"
"TOMCS-R","1","VVETK2A","64","VVETK2A","30025","60"
"TOMMA-I","1","ESTASIB","69","ESTASIB","32953","40"
"TOMMA-R","1","ESTAMAO","72","ESTAMAO","32624","40"
"TOSAL-I","1","ESTASIA","40","ESTASIA","35963","40"
"TOSAL-R","1","ALBROCE","38","ALBROCE","37349","40"
"TOSCO-I","1","ESTASIA","33","ESTASIA","23623","40"
"TOSCO-R","1","BVVCS2A","27","BVVCS2A","22216","40"
"TOSMA-I","1","ESTASIA","36","ESTASIA","31928","40"
"TOSMA-R","1","ESTAMAC","34","ESTAMAC","31847","40"
"TOVAL-I","1","VENVE1A","82","VENVE1A","34280","60"
"TOVAL-R","1","ALBROCA","82","ALBROCA","37636","40"
"TOVEC-I","1","ESTASIC","72","ESTASIC","27736","40"
"TOVEC-R","1","HSBCL3A","69","HSBCL3A","29158","60"
"TOVMA-I","1","PCACE3A","80","PCACE3A","30891","60"
"TOVMA-R","1","ESTAMAL","78","ESTAMAL","32134","40"
"UDFAL","1","ALBROCD","4","ALBROCD","7656","40"
"VA22AL-NA1","1","AMELI3A","3","AMELI3A","4769","40"
"VA22EM-NA1","1","AMELI3A","3","AMELI3A","3632","40"
"VA22PC-NA1","1","AMELI3A","2","AMELI3A","577","40"
"VA22PH-NA1","1","AMELI3A","3","AMELI3A","5787","40"
"VA2AAED-N1","1","AMELI3A","3","AMELI3A","10166","40"
"VA2CLAL-N1","1","AMELI3A","3","AMELI3A","4769","40"
"VA2CLEM-N1","1","AMELI3A","3","AMELI3A","3632","40"
"VA2CLPC-N1","1","AMELI3A","2","AMELI3A","577","40"
"VA2CLPH-N1","1","AMELI3A","3","AMELI3A","5787","40"
"VA2LED-NA1","1","AMELI3A","3","AMELI3A","10166","40"
"VA4AIPC-N1","1","ADETM1A","10","ADETM1A","12850","60"
"VA4CNPB-P2","1","ADETM1A","18","ADETM1A","16315","60"
"VA4CNPO-P2","1","ADETM1A","5","ADETM1A","10470","60"
"VA4CNPP-P2","1","ADETM1A","6","ADETM1A","20321","60"
"VA4CNSB-P2","1","ADETM1A","6","ADETM1A","10120","60"
"VA4CSBV-N2","1","ADETM1A","10","ADETM1A","11754","60"
"VA4CSCE-P2","1","ADETM1A","11","ADETM1A","12348","60"
"VA4CSPD-P2","1","PMAPA4A","28","PMAPA4A","31547","60"
"VA4KPC-NA1","1","ADETM1A","6","ADETM1A","7004","60"
"VA4MPH-NA1","1","ADETM1A","7","ADETM1A","5806","60"
"VA4NPB-NA2","1","ADETM1A","18","ADETM1A","16315","60"
"VA4NPO-NA2","1","ADETM1A","5","ADETM1A","10470","60"
"VA4NPP-NA2","1","ADETM1A","6","ADETM1A","20321","60"
"VA4NSB-NA2","1","ADETM1A","6","ADETM1A","10120","60"
"VA4SBV-NA2","1","ADETM1A","10","ADETM1A","11754","60"
"VA4SCE-NA2","1","ADETM1A","11","ADETM1A","12348","60"
"VA4SPD-NA2","1","ADETM1A","28","ADETM1A","31547","60"
"VA4TMPH-N1","1","ADETM1A","7","ADETM1A","5806","60"
"VACARV1-N2","1","ESTAN2A","9","ESTAN2A","5629","60"
"VACCNEM-R1","1","ESTAN1A","13","ESTAN1A","15476","60"
"VACCNEP-N2","1","ESTAN1A","16","ESTAN1A","6036","60"
"VACCNM1-B2","1","ESTAN1A","11","ESTAN1A","5417","60"
"VACCNPC-N1","1","ENADA1A","11","ENADA1A","23998","60"
"VACCNPH-N1","1","ESTAN1A","6","ESTAN1A","14366","60"
"VACCNST-N2","1","ESTAN1A","15","ESTAN1A","5657","60"
"VACCNTE-N2","1","ESTAN1A","14","ESTAN1A","6149","60"
"VACFV1-NA2","1","ESTAN1A","9","ESTAN1A","5629","60"
"VACNEM-NA1","1","ESTAN1A","13","ESTAN1A","15476","60"
"VACNEP-NA2","1","ISMCB2A","16","ISMCB2A","6036","40"
"VACNM1-NA2","1","ESTAN1A","11","ESTAN1A","5417","60"
"VACNPC-NA1","1","ESTAN1A","6","ESTAN1A","19004","60"
"VACNPH-NA1","1","ESTAN1A","6","ESTAN1A","14366","60"
"VACNST-NA2","1","ESTAN1A","15","ESTAN1A","5657","60"
"VACNTE-NA2","1","ESTAN1A","14","ESTAN1A","6149","60"
"VACPPF-NA2","1","ESTAN1A","12","ESTAN1A","5890","60"
"VACRAE-NA2","1","ESTAN1A","2","ESTAN1A","241","60"
"VACRCAZ-N2","1","ESTAN1A","22","ESTAN1A","10510","60"
"VACRCBN-N2","1","ESTAN1A","39","ESTAN1A","18628","60"
"VACREA-NA2","1","ESTAN1A","28","ESTAN1A","12021","60"
"VACREC-NA2","1","ESTAN1A","19","ESTAN1A","8495","60"
"VACRLA-NA2","1","ESTAN1A","3","ESTAN1A","1421","60"
"VACROAE-N2","1","ESTAN1A","2","ESTAN1A","241","60"
"VACROEA-N2","1","ESTAN1A","28","ESTAN1A","12021","60"
"VACROEC-N2","1","ESTAN1A","19","ESTAN1A","8495","60"
"VACROLA-N2","1","ESTAN1A","3","ESTAN1A","1421","60"
"VACROPB-N2","1","ESTAN1A","20","ESTAN1A","8554","60"
"VACROPO-N2","1","ESTAN1A","4","ESTAN1A","1429","60"
"VACROPS-N2","1","ESTAN1A","3","ESTAN1A","1042","60"
"VACROSB-R2","1","ESTAN1A","7","ESTAN1A","2370","60"
"VACROVE-N2","1","ESTAN1A","2","ESTAN1A","436","60"
"VACROVR-N2","1","ESTAN1A","8","ESTAN1A","4342","60"
"VACRPB-NA2","1","ESTAN1A","20","ESTAN1A","8554","60"
"VACRPO-NA2","1","ESTAN1A","4","ESTAN1A","1429","60"
"VACRPS-NA2","1","ESTAN1A","3","ESTAN1A","1042","60"
"VACRSB-NA2","1","ESTAN1A","7","ESTAN1A","2370","60"
"VACRVE-NA2","1","ESTAN1A","2","ESTAN1A","436","60"
"VACRVR-NA2","1","ESTAN1A","8","ESTAN1A","4342","60"
"VACSBPF-N2","1","ESTAN1A","12","ESTAN1A","5890","60"
"VACXAZ-NA2","1","ESTAN1A","22","ESTAN1A","10510","60"
"VACXBN-NA2","1","ESTAN1A","39","ESTAN1A","18628","60"
"VAECNAL-N1","1","ESTAN2A","5","ESTAN2A","16989","60"
"VAECNC5-N1","1","ESTAN2A","8","ESTAN2A","14890","60"
"VAECNM1-N2","1","ESTAN2A","10","ESTAN2A","5176","60"
"VAECNPC-N1","1","ESTAN2A","10","ESTAN2A","23757","60"
"VAECNPH-N1","1","ESTAN2A","5","ESTAN2A","14125","60"
"VAECNPJ-N1","1","ESTAN2A","6","ESTAN2A","14675","60"
"VAECNS1-N2","1","ESTAN2A","8","ESTAN2A","3664","60"
"VAECNST-N2","1","ESTAN2A","14","ESTAN2A","5416","60"
"VAECNTE-N2","1","ESTAN2A","13","ESTAN2A","5908","60"
"VAECNVV-N1","1","ESTAN2A","6","ESTAN2A","14482","60"
"VAENAL-NA1","1","ESTAN2A","5","ESTAN2A","16989","60"
"VAENC5-NA1","1","ESTAN2A","8","ESTAN2A","14890","60"
"VAENM1-NA2","1","ESTAN2A","10","ESTAN2A","5176","60"
"VAENPC-NA1","1","ESTAN2A","6","ESTAN2A","18763","60"
"VAENPH-NA1","1","ESTAN2A","5","ESTAN2A","14125","60"
"VAENS1-NA2","1","ESTAN2A","8","ESTAN2A","3664","60"
"VAENST-NA2","1","ESTAN2A","14","ESTAN2A","5416","60"
"VAENTE-NA2","1","ESTAN2A","13","ESTAN2A","5908","60"
"VAENVV-NA1","1","ESTAN2A","6","ESTAN2A","14482","60"
"VAERAC-NA2","1","ESTAN2A","2","ESTAN2A","933","60"
"VAERLA-NA2","1","ESTAN2A","2","ESTAN2A","648","60"
"VAEROAC-N2","1","ESTAN2A","2","ESTAN2A","933","60"
"VAEROLA-N2","1","ESTAN2A","2","ESTAN2A","648","60"
"VAEROPB-N2","1","ESTAN2A","18","ESTAN2A","8313","60"
"VAEROPF-N2","1","ESTAN2A","10","ESTAN2A","6415","60"
"VAEROPO-N2","1","ESTAN2A","3","ESTAN2A","1188","60"
"VAEROPS-N2","1","ESTAN2A","4","ESTAN2A","1975","60"
"VAEROSB-N2","1","ESTAN2A","7","ESTAN2A","2118","60"
"VAEROVE-N2","1","ESTAN2A","3","ESTAN2A","1369","60"
